%loc	type	subtyp	n	ord	thresh	pol0	pol1	pol2	pol3
56	dssd_back	dssd_back	1	2	0	-132.1398312305	3.4380932909	-301.3521335023	3.5634769751
57	dssd_back	dssd_back	1	2	0	-130.4439322083	3.4559546905	-204.7159578456	3.5134544091
58	dssd_back	dssd_back	1	2	0	-134.2679220321	3.5507154594	-200.013254582	3.6035160422
59	dssd_back	dssd_back	1	2	0	-133.6853068492	3.4624115211	-227.2149739229	3.5333975661
60	dssd_back	dssd_back	1	2	0	-134.8478045932	3.4458160088	-223.0192868146	3.5116990716
61	dssd_back	dssd_back	1	2	0	-126.1576397869	3.4741219209	-164.8232568769	3.5048408543
62	dssd_back	dssd_back	1	2	0	-128.8328888775	3.4294680847	-219.4943694394	3.498517182
63	dssd_back	dssd_back	1	2	0	-125.4313685079	3.4140016498	-190.0002257939	3.4627542747
64	dssd_back	dssd_back	1	2	0	-125.6776646115	3.4354901909	-190.5020966309	3.4846419202
65	dssd_back	dssd_back	1	2	0	-124.2244099468	3.4288674304	-114.9887120351	3.4248619458
66	dssd_back	dssd_back	1	2	0	-127.7844162297	3.4378955302	-142.6624654731	3.4515601023
67	dssd_back	dssd_back	1	2	0	-122.0700438464	3.4620667881	-82.6779522907	3.4365132718
68	dssd_back	dssd_back	1	2	0	-131.7781810049	3.4717617567	-106.9508082526	3.4562273351
69	dssd_back	dssd_back	1	2	0	-128.5950468927	3.4557902702	-153.1493580099	3.4767420292
70	dssd_back	dssd_back	1	2	0	-128.9719854774	3.4479421185	-162.4494262819	3.4751663474
71	dssd_back	dssd_back	1	2	0	-131.6061266233	3.4421933952	-115.8176007166	3.434134723
72	dssd_back	dssd_back	1	2	0	-136.8133753487	3.4281962031	-189.6545058199	3.4692345659
73	dssd_back	dssd_back	1	2	0	-131.5703580153	3.4466148921	-126.0092114132	3.4454974367
74	dssd_back	dssd_back	1	2	0	-121.0388749128	3.439312968	-117.9493035871	3.4401574321
75	dssd_back	dssd_back	1	2	0	-129.9177305089	3.4416285322	-96.5172343877	3.4204176805
76	dssd_back	dssd_back	1	2	0	-126.4424051267	3.4161524023	-125.8107176878	3.4191005087
77	dssd_back	dssd_back	1	2	0	-131.5214932344	3.399667846	-134.5838278632	3.4050906302
78	dssd_back	dssd_back	1	2	0	-119.8074912525	3.4125770605	-110.6057635956	3.4091506174
79	dssd_back	dssd_back	1	2	0	-125.0827092232	3.4350371948	-40.7318605675	3.3756553408
80	dssd_back	dssd_back	1	2	0	-121.782582251	3.3888476425	-104.5018626823	3.3787654222
